y_true,y_pred
20.28153,20.395048
6.222214,6.2055774
24.968042,25.216969
60.79351,60.907673
4.988235,4.9751368
5.564293,5.547833
63.72668,63.86484
28.582129,28.810658
2.9208527,2.947091
21.779573,21.933163
2.3226645,2.3301768
2.5770195,2.6099057
14.2857,14.300836
9.90378,9.982418
6.287761,6.3219423
1.0212582,1.0873032
1.234397,1.3410783
16.05638,16.0639
-0.06416984,-0.055798724
2.6774025,2.8606057
58.426624,58.50387
5.4446115,5.4298997
11.691884,11.659047
2.1156876,2.1480877
1.4605447,1.426357
11.291499,11.344774
0.9961879,1.1580071
16.714697,16.771038
0.1347712,0.07936207
3.9947765,3.9910877
0.30899173,0.24189804
78.22116,78.55113
9.020961,9.021323
-0.369013,-0.27196705
30.590988,30.804375
0.7786901,0.70488
13.871583,13.87863
9.292568,9.412825
1.8894832,2.0859554
13.57038,13.581957
28.987322,29.16646
13.212544,13.222441
8.145566,8.093278
3.9985538,3.996983
2.8673053,2.934248
0.29558057,0.2609905
2.3829575,2.395554
41.072147,41.17171
15.963739,16.010357
6.160155,6.2140937
16.953678,16.932713
3.735158,3.7409027
0.5396466,0.60861737
24.815195,25.023249
39.378334,39.51057
36.16436,36.292118
0.16063814,0.115880705
4.6509924,4.6423087
17.829725,17.778444
37.35414,37.492966
2.2314057,2.242338
6.2177615,6.198629
0.048467945,0.059437707
1.9206218,2.0783787
31.117205,31.296934
52.977222,53.055424
7.227833,7.21939
38.712452,38.834167
17.644346,17.639994
0.649096,0.7152491
17.478804,17.481464
61.011486,61.153713
8.434397,8.433694
63.416107,63.52859
28.85962,29.244411
30.927546,31.126503
10.027191,10.085483
3.7303424,3.7271824
10.09317,10.150141
11.524951,11.595614
6.1628013,6.128836
17.226418,17.234531
59.55171,59.61065
1.9259262,1.9322798
0.14443672,0.07647471
1.8150185,1.7925804
34.578136,34.749123
15.470621,15.520885
1.8997039,1.9121201
21.350908,21.453783
11.344408,11.384703
36.812702,36.964165
0.5191481,0.57957065
3.3795006,3.367252
3.1372788,3.154705
3.0548654,3.1835077
14.869127,14.909578
14.682586,14.69696
9.224925,9.236513
4.706033,4.693071
1.8559896,1.8353369
2.9145517,2.9374564
3.0511813,3.0130851
0.40600836,0.4492143
5.7095437,5.6924253
18.881046,18.88394
81.64532,81.94826
12.1456995,12.192197
14.842595,14.846696
7.244857,7.235831
9.98086,10.06092
7.810954,7.8145623
10.442293,10.469802
115.9342,116.035324
5.6068645,5.590003
15.066051,15.103524
8.80386,8.792178
0.025543833,-0.01474607
44.046303,44.14582
28.732489,28.937101
30.203392,30.3941
0.096370876,0.07803214
54.8772,54.967003
2.168833,2.3007214
24.417042,24.570843
98.11575,98.32452
0.6593436,0.72768104
2.2827291,2.3281279
10.543029,10.603237
1.1851323,1.1591239
3.7891915,3.8228345
10.048073,10.0953
1.1525722,1.396956
20.247747,20.314533
-0.43082178,-0.35752666
61.802578,61.94265
0.8706364,0.9875399
3.6136982,3.6162136
31.077513,31.260069
1.3197759,1.495754
13.56789,13.599597
50.862354,50.939682
4.3310986,4.345303
